,Batsmen,R,B,4s,6s,SR
132,Dhananjaya de SilvaDM de Silva  c David Warner b Ashton Agar,26,23,3,0,113.04
133,Charith AsalankaKIC Asalanka  NOT OUT,38,25,3,2,152
134,Bhanuka RajapaksaPBB Rajapaksa  c Pat Cummins b Mitchell Starc,7,5,1,0,140
135,Dasun ShanakaMD Shanaka  c Matthew Wade b Glenn Maxwell,3,5,0,0,60
136,Wanindu HasarangaW Hasaranga  c Matthew Wade b Josh Hazlewood,1,4,0,0,25
137,Chamika KarunaratneC Karunaratne  NOT OUT,14,7,2,0,200
138,Maheesh TheekshanaM Theekshana,-,-,-,-,-
139,Lahiru KumaraCBRLS Kumara,-,-,-,-,-
140,Binura FernandoB Fernando,-,-,-,-,-
141,"Extras (w 12, b 6, lb 5)",23,,,,
142,"Total (6 wickets, 20 overs)",157,,,,
143,David WarnerDA Warner  c Dasun Shanaka b Maheesh Theekshana,11,10,0,0,110
144,Aaron FinchAJ Finch  NOT OUT,31,42,0,1,73.8
145,Mitchell MarshMR Marsh  c Bhanuka Rajapaksa b Dhananjaya de Silva,17,17,1,1,100
146,Glenn MaxwellGJ Maxwell  c Ashen Bandara b Chamika Karunaratne,23,12,2,2,191.66
147,Marcus StoinisMP Stoinis  NOT OUT,59,18,4,6,327.77
148,Tim DavidTH David,-,-,-,-,-
149,Matthew WadeMS Wade,-,-,-,-,-
150,Pat CumminsPJ Cummins,-,-,-,-,-
151,Mitchell StarcMA Starc,-,-,-,-,-
152,Ashton AgarAC Agar,-,-,-,-,-
153,Josh HazlewoodJR Hazlewood,-,-,-,-,-
154,"Extras (w 10, b 4, lb 3)",17,,,,
155,"Total (3 wickets, 16.3 overs)",158,,,,
156,Paul StirlingPR Stirling  c Sam Curran b Mark Wood,14,8,1,1,175
157,Andrew BalbirnieA Balbirnie  c Alex Hales b Liam Livingstone,62,47,5,2,131.91
158,Lorcan TuckerLJ Tucker  run out (Adil Rashid),34,27,3,1,125.92
159,Harry TectorHT Tector  c Jos Buttler b Mark Wood,0,2,0,0,0
160,Curtis CampherC Campher  c Jos Buttler b Mark Wood,18,11,3,0,163.63
161,George DockrellGH Dockrell  b Liam Livingstone,0,1,0,0,0
162,Gareth DelanyGJ Delany  NOT OUT,12,10,1,0,120
163,Mark AdairMR Adair  c Sam Curran b Liam Livingstone,4,4,0,0,100
164,Barry McCarthyBJ McCarthy  b Sam Curran,3,3,0,0,100
165,Fionn HandF Hand  b Sam Curran,1,2,0,0,50
166,Joshua LittleJB Little  c Jos Buttler b Ben Stokes,0,1,0,0,0
167,"Extras (w 7, lb 2)",9,,,,
168,"Total (all out, 19.2 overs)",157,,,,
169,Jos ButtlerJC Buttler  c Lorcan Tucker b Joshua Little,0,2,0,0,0
170,Alex HalesAD Hales  c Mark Adair b Joshua Little,7,5,1,0,140
171,Dawid MalanDJ Malan  c Fionn Hand b Barry McCarthy,35,37,2,0,94.59
172,Ben StokesBA Stokes  b Fionn Hand,6,8,0,0,75
173,Harry BrookHC Brook  c Gareth Delany b George Dockrell,18,21,1,0,85.71
174,Moeen AliMM Ali  NOT OUT,24,12,3,1,200
175,Liam LivingstoneLS Livingstone  NOT OUT,1,2,0,0,50
176,Sam CurranSM Curran,-,-,-,-,-
177,Chris WoakesCR Woakes,-,-,-,-,-
178,Mark WoodMA Wood,-,-,-,-,-
179,Adil RashidAU Rashid,-,-,-,-,-
180,"Extras (w 10, lb 4)",14,,,,
181,"Total (5 wickets, 14.3 overs)",105,,,,
182,Temba BavumaT Bavuma  c Nurul Hasan b Taskin Ahmed,2,6,0,0,33.33
183,Quinton de KockQ de Kock  c Soumya Sarkar b Afif Hossain,63,38,7,3,165.78
184,Rilee RossouwRR Rossouw  c Litton Das b Shakib Al Hasan,109,56,7,8,194.64
185,Tristan StubbsT Stubbs  c Litton Das b Shakib Al Hasan,7,7,1,0,100
186,Aiden MarkramAK Markram  c Soumya Sarkar b Hasan Mahmud,10,11,1,0,90.9
187,David MillerDA Miller  NOT OUT,2,4,0,0,50
188,Wayne ParnellWD Parnell  NOT OUT,0,2,0,0,0
189,Keshav MaharajKA Maharaj,-,-,-,-,-
190,Kagiso RabadaK Rabada,-,-,-,-,-
191,Anrich NortjeA Nortje,-,-,-,-,-
192,Tabraiz ShamsiT Shamsi,-,-,-,-,-
193,"Extras (nb 4, w 2, lb 1, pen 5)",12,,,,
194,"Total (5 wickets, 20 overs)",205,,,,
195,Soumya SarkarSoumya Sarkar  c Quinton de Kock b Anrich Nortje,15,6,0,2,250
196,Najmul ShantoNajmul Hossain Shanto  b Anrich Nortje,9,9,1,0,100
197,Litton DasLitton Das  c Tristan Stubbs b Tabraiz Shamsi,34,31,1,1,109.67
198,Shakib Al HasanS Al Hasan  lbw Anrich Nortje,1,4,0,0,25
199,Afif HossainAfif Hossain  c Wayne Parnell b Kagiso Rabada,1,5,0,0,20
200,Mehidy MirazMehidy Hasan Miraz  c Aiden Markram b Tabraiz Shamsi,11,13,0,0,84.61
201,Musaddek HossainMusaddek Hossain  st Quinton de Kock b Keshav Maharaj,0,3,0,0,0
202,Nurul HasanNurul Hasan  c Anrich Nortje b Tabraiz Shamsi,2,6,0,0,33.33
203,Taskin AhmedTaskin Ahmed  b Anrich Nortje,10,16,1,0,62.5
